,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5138,10509071,HZ250713,05/03/2016 08:30:00 PM,012XX W FULLERTON AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,1932,19.0,32.0,7.0,06,1167657.0,1916082.0,2016,05/10/2016 03:56:50 PM,41.925278177,-87.65936796,"(41.925278177, -87.65936796)"
5225,10509077,HZ250776,05/03/2016 12:01:00 AM,002XX W 33RD ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,915,9.0,11.0,34.0,11,1175297.0,1883093.0,2016,05/10/2016 03:56:50 PM,41.834586177,-87.632285413,"(41.834586177, -87.632285413)"
5423,10509078,HZ250611,05/03/2016 12:01:00 AM,043XX S SAWYER AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,821,8.0,14.0,58.0,11,1155409.0,1875700.0,2016,05/10/2016 03:56:50 PM,41.814721065,-87.7054583,"(41.814721065, -87.7054583)"
5770,10509094,HZ250662,05/03/2016 11:00:00 PM,084XX S MORGAN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,613,6.0,21.0,71.0,07,1171118.0,1848917.0,2016,05/10/2016 03:56:50 PM,41.740895923,-87.648617881,"(41.740895923, -87.648617881)"
6399,10509096,HZ250700,05/03/2016 04:45:00 PM,003XX W MONROE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,122,1.0,2.0,32.0,07,1174166.0,1899864.0,2016,05/10/2016 03:56:50 PM,41.88063228,-87.635935494,"(41.88063228, -87.635935494)"
6421,10509107,HZ250666,05/03/2016 02:40:00 PM,001XX S PARKSIDE AVE,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, GROUNDS",False,False,1513,15.0,29.0,25.0,08B,1138636.0,1898830.0,2016,05/10/2016 03:56:50 PM,41.87851302,-87.766424778,"(41.87851302, -87.766424778)"
6639,10509118,HZ250763,05/03/2016 07:30:00 PM,042XX W KAMERLING AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,2534,25.0,37.0,23.0,06,1147775.0,1908648.0,2016,05/10/2016 03:56:50 PM,41.90528413,-87.732615525,"(41.90528413, -87.732615525)"
7181,10509137,HZ250815,05/03/2016 09:45:00 PM,037XX N WILTON AVE,0810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,False,False,1923,19.0,44.0,6.0,06,1169265.0,1925099.0,2016,05/10/2016 03:56:50 PM,41.949986394,-87.65319658,"(41.949986394, -87.65319658)"
7704,10509139,HZ250777,05/03/2016 10:30:00 PM,010XX W GRANVILLE AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,APARTMENT,False,False,2433,24.0,48.0,77.0,14,1167960.0,1941343.0,2016,05/10/2016 03:56:50 PM,41.994588742,-87.657522554,"(41.994588742, -87.657522554)"
7941,10509159,HZ250847,05/03/2016 09:00:00 AM,100XX S VERNON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,511,5.0,9.0,49.0,11,1181016.0,1838453.0,2016,05/10/2016 03:56:50 PM,41.711959596,-87.612673629,"(41.711959596, -87.612673629)"
7985,10509160,HZ250831,05/03/2016 06:30:00 AM,006XX W 41ST ST,0820,THEFT,$500 AND UNDER,STREET,False,False,925,9.0,11.0,61.0,06,1172757.0,1877882.0,2016,05/10/2016 03:56:50 PM,41.820343226,-87.641759214,"(41.820343226, -87.641759214)"
8007,10509162,HZ250825,05/03/2016 01:38:00 AM,034XX N ALBANY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1733,17.0,33.0,21.0,14,1155113.0,1922566.0,2016,05/10/2016 03:56:50 PM,41.943332055,-87.705286066,"(41.943332055, -87.705286066)"
8073,10509183,HZ250769,05/03/2016 09:00:00 PM,068XX S OGLESBY AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,331,3.0,5.0,43.0,06,1192946.0,1860098.0,2016,05/10/2016 03:56:50 PM,41.771073064,-87.568278663,"(41.771073064, -87.568278663)"
8857,10509210,HZ250655,05/03/2016 09:30:00 PM,068XX S ASHLAND AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,725,7.0,17.0,67.0,08B,1166850.0,1859459.0,2016,05/10/2016 03:56:50 PM,41.769916749,-87.663954978,"(41.769916749, -87.663954978)"
9008,10509213,HZ250838,05/03/2016 07:00:00 PM,133XX S LANGLEY AVE,0820,THEFT,$500 AND UNDER,CHA PARKING LOT/GROUNDS,False,False,533,5.0,9.0,54.0,06,1183339.0,1817078.0,2016,05/10/2016 03:56:50 PM,41.653249978,-87.604828177,"(41.653249978, -87.604828177)"
9097,10509223,HZ250646,05/03/2016 07:00:00 PM,059XX S MOZART ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,824,8.0,16.0,66.0,07,1158392.0,1865224.0,2016,05/10/2016 03:56:50 PM,41.785913194,-87.694801653,"(41.785913194, -87.694801653)"
9250,10509235,HZ250869,05/03/2016 07:00:00 PM,070XX W ARCHER AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,MEDICAL/DENTAL OFFICE,False,False,811,8.0,23.0,56.0,14,1130469.0,1867268.0,2016,05/10/2016 03:56:50 PM,41.792045748,-87.797136278,"(41.792045748, -87.797136278)"
9337,10509250,HZ250807,05/03/2016 11:00:00 AM,011XX W 95TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2213,22.0,21.0,73.0,26,1170219.0,1841786.0,2016,05/10/2016 03:56:50 PM,41.721347022,-87.652118525,"(41.721347022, -87.652118525)"
9468,10509262,HZ250900,05/03/2016 07:00:00 PM,037XX W ADDISON ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1732,17.0,30.0,21.0,06,1150905.0,1923676.0,2016,05/10/2016 03:56:50 PM,41.946461543,-87.72072354,"(41.946461543, -87.72072354)"
9513,10509271,HZ250882,05/03/2016 05:30:00 PM,0000X S WABASH AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,False,False,112,1.0,42.0,32.0,14,1176814.0,1900257.0,2016,05/10/2016 03:56:50 PM,41.881651236,-87.626200491,"(41.881651236, -87.626200491)"
10186,10509277,HZ250919,05/03/2016 10:00:00 PM,087XX S BURLEY AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,CHA PARKING LOT/GROUNDS,False,False,424,4.0,7.0,46.0,15,1199184.0,1847728.0,2016,05/10/2016 03:56:50 PM,41.736974418,-87.545827999,"(41.736974418, -87.545827999)"
10208,10509285,HZ250694,05/03/2016 09:00:00 PM,029XX N MOBILE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2511,25.0,29.0,19.0,07,1133897.0,1918956.0,2016,05/10/2016 03:56:50 PM,41.933825894,-87.78335189,"(41.933825894, -87.78335189)"
10252,10509311,HZ250961,05/03/2016 09:00:00 PM,029XX S WALLACE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,914,9.0,11.0,60.0,26,1172771.0,1885463.0,2016,05/10/2016 03:56:50 PM,41.841145857,-87.641483881,"(41.841145857, -87.641483881)"
10295,10509328,HZ250653,05/03/2016 09:30:00 AM,071XX S EAST END AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,324,3.0,8.0,43.0,07,1188770.0,1857957.0,2016,05/10/2016 03:56:50 PM,41.765298896,-87.583654511,"(41.765298896, -87.583654511)"
10361,10509336,HZ250909,05/03/2016 08:30:00 PM,066XX W RAVEN ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1611,16.0,41.0,10.0,06,1130812.0,1940757.0,2016,05/10/2016 03:56:50 PM,41.993703853,-87.794185238,"(41.993703853, -87.794185238)"
10405,10509343,HZ250911,05/03/2016 03:30:00 PM,0000X W CHESTNUT ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,False,False,1832,18.0,42.0,8.0,11,1175628.0,1906198.0,2016,05/10/2016 03:56:50 PM,41.897980396,-87.630376682,"(41.897980396, -87.630376682)"
10794,10509351,HZ250971,05/03/2016 10:10:00 PM,064XX S PEORIA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,723,7.0,16.0,68.0,08B,1171414.0,1862128.0,2016,05/10/2016 03:56:50 PM,41.777142114,-87.647147267,"(41.777142114, -87.647147267)"
10838,10509362,HZ250948,05/03/2016 01:00:00 PM,004XX N STATE ST,0810,THEFT,OVER $500,STREET,False,False,1834,18.0,42.0,8.0,06,1176302.0,1903096.0,2016,05/10/2016 03:56:50 PM,41.889453169,-87.627994833,"(41.889453169, -87.627994833)"
10992,10509363,HZ250630,05/03/2016 10:30:00 PM,009XX W DICKENS AVE,0810,THEFT,OVER $500,RESIDENCE-GARAGE,False,False,1812,18.0,43.0,7.0,06,1169773.0,1914157.0,2016,05/10/2016 03:56:50 PM,41.919949978,-87.651649056,"(41.919949978, -87.651649056)"
11600,10509413,HZ251000,05/04/2016 11:25:00 AM,031XX S ASHLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),False,False,912,9.0,11.0,59.0,14,1166183.0,1883676.0,2016,05/11/2016 03:50:55 PM,41.836385231,-87.66571041,"(41.836385231, -87.66571041)"
11666,10509422,HZ250945,05/04/2016 11:15:00 AM,083XX S STEWART AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,622,6.0,21.0,44.0,06,1175078.0,1849610.0,2016,05/11/2016 03:50:55 PM,41.742710224,-87.634088181,"(41.742710224, -87.634088181)"
12232,10509410,HZ251003,05/03/2016 09:00:00 AM,018XX N MASON AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,2531,25.0,29.0,25.0,11,1136460.0,1911565.0,2016,05/10/2016 03:56:50 PM,41.913498644,-87.774109939,"(41.913498644, -87.774109939)"
12754,10509462,HZ250775,05/03/2016 08:30:00 PM,032XX W POTOMAC AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1422,14.0,26.0,23.0,14,1154577.0,1908468.0,2016,05/10/2016 03:56:50 PM,41.904656764,-87.707634248,"(41.904656764, -87.707634248)"
13189,10509476,HZ251030,05/03/2016 11:00:00 PM,021XX N LEAVITT ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1432,14.0,32.0,22.0,14,1161347.0,1914241.0,2016,05/10/2016 03:56:50 PM,41.920360101,-87.682605169,"(41.920360101, -87.682605169)"
13211,10509481,HZ250766,05/03/2016 07:30:00 PM,043XX S KEDZIE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,False,False,922,9.0,14.0,58.0,14,1155737.0,1875838.0,2016,05/10/2016 03:56:50 PM,41.815093173,-87.704251437,"(41.815093173, -87.704251437)"
13668,10509482,HZ251008,05/03/2016 01:30:00 PM,038XX W WILCOX ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,1122,11.0,28.0,26.0,26,1150799.0,1899061.0,2016,05/10/2016 03:56:50 PM,41.878917763,-87.721758314,"(41.878917763, -87.721758314)"
13691,10509486,HZ250872,05/03/2016 07:30:00 PM,011XX S STATE ST,0810,THEFT,OVER $500,CTA TRAIN,False,False,123,1.0,2.0,32.0,06,1176517.0,1895340.0,2016,05/10/2016 03:56:50 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
14017,10509488,HZ251048,05/03/2016 09:11:00 AM,0000X E RANDOLPH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,False,False,111,1.0,42.0,32.0,11,1176904.0,1901295.0,2016,05/10/2016 03:56:50 PM,41.884497529,-87.625838595,"(41.884497529, -87.625838595)"
14104,10509525,HZ251077,05/03/2016 06:30:00 AM,006XX W WASHINGTON BLVD,0810,THEFT,OVER $500,STREET,False,False,121,1.0,27.0,28.0,06,1171824.0,1900768.0,2016,05/10/2016 03:56:50 PM,41.883164818,-87.644508395,"(41.883164818, -87.644508395)"
14189,10509526,HZ250665,05/03/2016 06:30:00 PM,060XX N NAVARRE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1611,16.0,41.0,10.0,06,1131033.0,1939617.0,2016,05/10/2016 03:56:50 PM,41.99057177,-87.793398734,"(41.99057177, -87.793398734)"
14451,10509558,HZ251052,05/03/2016 05:40:00 PM,001XX E 104TH PL,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,512,5.0,9.0,49.0,08A,1179094.0,1835637.0,2016,05/10/2016 03:56:50 PM,41.704276039,-87.619797922,"(41.704276039, -87.619797922)"
15080,10509579,HZ251110,05/03/2016 10:00:00 AM,079XX S BLACKSTONE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,411,4.0,8.0,45.0,14,1187546.0,1852538.0,2016,05/10/2016 03:56:50 PM,41.750457849,-87.588312792,"(41.750457849, -87.588312792)"
15102,10509582,HZ251083,05/03/2016 01:00:00 PM,030XX S KEDZIE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,SMALL RETAIL STORE,False,False,1032,10.0,12.0,30.0,11,1155512.0,1884264.0,2016,05/10/2016 03:56:50 PM,41.838219696,-87.704850674,"(41.838219696, -87.704850674)"
15550,10509606,HZ251117,05/03/2016 08:30:00 PM,054XX W HIGGINS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,OTHER,False,False,1623,16.0,45.0,11.0,07,1139224.0,1931886.0,2016,05/10/2016 03:56:50 PM,41.969211609,-87.763459102,"(41.969211609, -87.763459102)"
15681,10509660,HZ251032,05/03/2016 04:07:00 PM,052XX S STATE ST,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,"SCHOOL, PUBLIC, BUILDING",False,False,225,2.0,3.0,40.0,26,1177170.0,1870046.0,2016,05/10/2016 03:56:50 PM,41.798741929,-87.62580711,"(41.798741929, -87.62580711)"
16028,10509694,HZ251105,05/03/2016 02:00:00 PM,080XX S PAULINA ST,0820,THEFT,$500 AND UNDER,STREET,False,False,611,6.0,21.0,71.0,06,1166410.0,1851364.0,2016,05/10/2016 03:56:50 PM,41.747712344,-87.665798083,"(41.747712344, -87.665798083)"
16464,10509700,HZ249871,05/03/2016 03:05:00 PM,093XX S WENTWORTH AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,634,6.0,21.0,49.0,08B,1176590.0,1843118.0,2016,05/10/2016 03:56:50 PM,41.724861497,-87.628742936,"(41.724861497, -87.628742936)"
16616,10509702,HZ251095,05/03/2016 09:00:00 AM,075XX S LANGLEY AVE,0810,THEFT,OVER $500,APARTMENT,False,False,624,6.0,6.0,69.0,06,1182201.0,1855156.0,2016,05/10/2016 03:56:50 PM,41.757767253,-87.607818223,"(41.757767253, -87.607818223)"
17051,10509709,HZ251194,05/03/2016 12:30:00 AM,020XX S WESTERN AVE,0820,THEFT,$500 AND UNDER,CTA TRAIN,False,False,1023,10.0,25.0,31.0,06,1160686.0,1890209.0,2016,05/10/2016 03:56:50 PM,41.854427952,-87.685700213,"(41.854427952, -87.685700213)"
17094,10509724,HZ251141,05/03/2016 09:35:00 PM,050XX N PAULINA ST,0560,ASSAULT,SIMPLE,HOSPITAL BUILDING/GROUNDS,False,False,2032,20.0,47.0,3.0,08A,1164323.0,1933390.0,2016,05/10/2016 03:56:50 PM,41.972843435,-87.671127232,"(41.972843435, -87.671127232)"
17181,10509764,HZ249689,05/03/2016 12:15:00 PM,061XX S MORGAN ST,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,712,7.0,16.0,68.0,06,1170696.0,1864158.0,2016,05/10/2016 03:56:50 PM,41.782728365,-87.649720276,"(41.782728365, -87.649720276)"
17423,10509769,HZ251010,05/03/2016 08:30:00 PM,014XX N AVERS AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,2535,25.0,30.0,23.0,03,1150444.0,1909392.0,2016,05/10/2016 03:56:50 PM,41.907274031,-87.722791892,"(41.907274031, -87.722791892)"
17619,10509770,HZ250329,05/03/2016 09:00:00 AM,048XX W EDDY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1634,16.0,38.0,15.0,08B,1143575.0,1923186.0,2016,05/10/2016 03:56:50 PM,41.945257538,-87.74767892,"(41.945257538, -87.74767892)"
17706,10509783,HZ251242,05/03/2016 12:15:00 PM,013XX E 72ND ST,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",False,False,324,3.0,5.0,43.0,08B,1186321.0,1857530.0,2016,05/10/2016 03:56:50 PM,41.764185391,-87.592644199,"(41.764185391, -87.592644199)"
17816,10509784,HZ251276,05/03/2016 08:00:00 PM,062XX N NEWCASTLE AVE,0810,THEFT,OVER $500,STREET,False,False,1611,16.0,41.0,10.0,06,1130189.0,1940933.0,2016,05/10/2016 03:56:50 PM,41.994197554,-87.796472871,"(41.994197554, -87.796472871)"
17988,10509800,HZ251202,05/03/2016 10:00:00 PM,065XX N WHIPPLE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2412,24.0,50.0,2.0,07,1154820.0,1943117.0,2016,05/10/2016 03:56:50 PM,41.99973106,-87.705809711,"(41.99973106, -87.705809711)"
18272,10509460,HZ250952,05/04/2016 11:30:00 AM,071XX S JEFFERY BLVD,1330,CRIMINAL TRESPASS,TO LAND,DRUG STORE,True,False,333,3.0,5.0,43.0,26,1190777.0,1858141.0,2016,05/11/2016 03:50:55 PM,41.765755571,-87.576292427,"(41.765755571, -87.576292427)"
18337,10509801,HZ251260,05/03/2016 07:15:00 PM,016XX W OLIVE AVE,501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,RESIDENTIAL YARD (FRONT/BACK),False,False,2012,20.0,40.0,77.0,26,1164322.0,1937557.0,2016,05/10/2016 03:56:50 PM,41.984277849,-87.671012432,"(41.984277849, -87.671012432)"
18596,10509473,HZ250866,05/04/2016 09:00:00 AM,010XX N RUSH ST,0810,THEFT,OVER $500,STREET,False,False,1824,18.0,42.0,8.0,06,1176265.0,1907589.0,2016,05/11/2016 03:50:55 PM,41.90178302,-87.627995064,"(41.90178302, -87.627995064)"
18748,10509840,HZ251384,05/03/2016 04:00:00 PM,028XX S CENTRAL PARK AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,False,1032,10.0,22.0,30.0,05,1152831.0,1884874.0,2016,05/10/2016 03:56:50 PM,41.839947022,-87.714672499,"(41.839947022, -87.714672499)"
18814,10509474,HZ250988,05/04/2016 08:16:00 AM,032XX W 59TH ST,0580,STALKING,SIMPLE,STREET,False,False,822,8.0,14.0,63.0,08A,1155977.0,1865327.0,2016,05/11/2016 03:50:55 PM,41.786244716,-87.703653521,"(41.786244716, -87.703653521)"
18924,10509843,HZ251265,05/03/2016 09:00:00 AM,039XX S LAKE PARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,214,2.0,4.0,36.0,08B,1183292.0,1879180.0,2016,05/10/2016 03:56:50 PM,41.823665846,-87.603072021,"(41.823665846, -87.603072021)"
